Item,Item id,Item revenue per location,Item revenue,Item revenue percentage,Item volume per location,Item volume,Item volume percentage,Item aov,Item guests,N day item return rate,N day item reorder rate,Business date previous start,Business date previous end,Item revenue per location previous,Item revenue previous,Item revenue percentage previous,Item volume per location previous,Item volume previous,Item volume percentage previous,Item aov previous,Item guests previous,N day item return rate previous,N day item reorder rate previous,Item revenue per location absolute difference,Item revenue per location relative difference,Item revenue absolute difference,Item revenue relative difference,Item revenue percentage absolute difference,Item revenue percentage relative difference,Item volume per location absolute difference,Item volume per location relative difference,Item volume absolute difference,Item volume relative difference,Item volume percentage absolute difference,Item volume percentage relative difference,Item aov absolute difference,Item aov relative difference,Item guests absolute difference,Item guests relative difference,N day item return rate absolute difference,N day item return rate relative difference,N day item reorder rate absolute difference,N day item reorder rate relative difference
Cauliflower + Quinoa - Club Feast,6464b9d4d617f8abfaa0cdd85d8f43a6,27.57,27.57,0.0002,3.0000,3,0.0002,,0,,,2025-03-31,2025-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paneer Tikka Bowl,1680a4357e2ab3fb482a56d60603525a,2902.00,14510.02,0.0932,204.8000,1024,0.0689,37.08,177,,,2025-03-31,2025-04-27,1984.22,9921.09,0.0703,152.0000,760.0000,0.0543,40.79,175.0000,0.4171,0.2914,917.79,0.4625,4588.93,0.4625,0.0229,0.3249,52.8000,0.3474,264.0000,0.3474,0.0146,0.2694,-3.71,-0.0910,2.0000,0.0114,,,,
Butter Chicken Burrito,037d8e4f48a3c66db8eaff8a4770bc84,1422.12,7110.58,0.0457,106.2000,531,0.0357,37.80,111,,,2025-03-31,2025-04-27,1301.88,6509.42,0.0461,108.6000,543.0000,0.0388,35.95,175.0000,0.3543,0.1543,120.23,0.0924,601.16,0.0924,-0.0005,-0.0105,-2.4000,-0.0221,-12.0000,-0.0221,-0.0031,-0.0787,1.85,0.0516,-64.0000,-0.3657,,,,
Mango Lassi,612a2d386edc9534c9b0c2d1c8cb2290,526.90,2634.50,0.0169,101.6000,508,0.0342,36.85,86,,,2025-03-31,2025-04-27,462.70,2313.50,0.0164,96.0000,480.0000,0.0343,39.32,111.0000,0.3964,0.2252,64.20,0.1388,321.00,0.1388,0.0005,0.0316,5.6000,0.0583,28.0000,0.0583,-0.0001,-0.0029,-2.47,-0.0629,-25.0000,-0.2252,,,,
Grain Bowl,8f1eb7b733a778fa96d20356d25b7acb,3518.96,17594.81,0.1130,252.2000,1261,0.0849,32.52,203,,,2025-03-31,2025-04-27,3022.72,15113.58,0.1071,232.8000,1164.0000,0.0831,28.80,334.0000,0.4790,0.3593,496.25,0.1642,2481.23,0.1642,0.0058,0.0546,19.4000,0.0833,97.0000,0.0833,0.0017,0.0206,3.72,0.1292,-131.0000,-0.3922,,,,
Spiced Cauli + Quinoa Bowl,1e8e6594ecff87b7c75c081bd791f412,416.88,2084.38,0.0134,32.2000,161,0.0108,39.85,53,,,2025-03-31,2025-04-27,451.15,2255.74,0.0160,39.2000,196.0000,0.0140,39.38,65.0000,0.5538,0.2615,-34.27,-0.0760,-171.36,-0.0760,-0.0026,-0.1629,-7.0000,-0.1786,-35.0000,-0.1786,-0.0032,-0.2261,0.47,0.0120,-12.0000,,,,,
Naan,29f3e38343ae99ac5524ed1ddb2b1d6e,149.16,745.82,0.0048,82.4000,412,0.0277,39.29,91,,,2025-03-31,2025-04-27,109.32,546.58,0.0039,53.8000,269.0000,0.0192,42.69,63.0000,0.3492,0.1111,39.85,0.3645,199.24,0.3645,0.0009,0.2361,28.6000,0.5316,143.0000,0.5316,0.0085,0.4429,-3.40,-0.0796,28.0000,,,,,
Coconut Veggie Curry,1db87b95359c565a71844665aa04df83,55.28,276.40,0.0018,3.8000,19,0.0013,,3,,,2025-03-31,2025-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Masala Chai - Oat Milk,d1d6cda5119313e3fecde5947361fe9f,33.00,165.00,0.0011,8.0000,40,0.0027,,13,,,2025-03-31,2025-04-27,28.22,141.11,0.0010,6.4000,32.0000,0.0023,,7.0000,0.4286,0.4286,4.78,0.1693,23.89,0.1693,0.0001,0.0592,1.6000,0.2500,8.0000,,0.0004,0.1776,,,6.0000,,,,,
Maine Root Fountain Soda,53b139407870a7205e24a64b2ccf9eb2,27.62,55.25,0.0004,9.5000,19,0.0013,,6,,,2025-03-31,2025-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
