Item,Item id,Item revenue per location,Item revenue,Item revenue percentage,Item volume per location,Item volume,Item volume percentage,Item aov,Item guests,N day item return rate,N day item reorder rate,Business date previous start,Business date previous end,Item revenue per location previous,Item revenue previous,Item revenue percentage previous,Item volume per location previous,Item volume previous,Item volume percentage previous,Item aov previous,Item guests previous,N day item return rate previous,N day item reorder rate previous,Item revenue per location absolute difference,Item revenue per location relative difference,Item revenue absolute difference,Item revenue relative difference,Item revenue percentage absolute difference,Item revenue percentage relative difference,Item volume per location absolute difference,Item volume per location relative difference,Item volume absolute difference,Item volume relative difference,Item volume percentage absolute difference,Item volume percentage relative difference,Item aov absolute difference,Item aov relative difference,Item guests absolute difference,Item guests relative difference,N day item return rate absolute difference,N day item return rate relative difference,N day item reorder rate absolute difference,N day item reorder rate relative difference
Eurest Double Protein Bowl,70ada3482a674616079f490abacaeb54,72.00,72.00,0.0004,4.0000,4,0.0002,,0,0.0000,0.0000,2025-01-27,2025-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Butter Chicken,9c31e042dca639957d77cf56d13f5e1d,1201.28,6006.40,0.0329,85.6000,428,0.0209,26.34,390,0.1769,0.0897,2025-01-27,2025-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samosa Chaat,ed1b49254bb3de73aa66c7b747f245fd,234.68,1173.40,0.0064,45.4000,227,0.0111,19.76,196,0.3163,0.2041,2025-01-27,2025-02-23,243.93,1219.66,0.0067,45.6000,228.0000,0.0104,18.55,194.0000,0.2526,0.1289,-9.25,-0.0379,-46.26,-0.0379,-0.0003,-0.0467,-0.2000,-0.0044,-1.0000,-0.0044,0.0007,0.0674,1.21,0.0652,2.0000,0.0103,0.0638,0.2524,0.0752,0.5837
Spiked Lassi,848bdd83bf207aa9ceca2927f4112998,15.00,60.00,0.0003,1.7500,7,0.0003,,7,0.0000,0.0000,2025-01-27,2025-02-23,58.00,290.00,0.0016,7.6000,38.0000,0.0017,,34.0000,0.1471,0.0588,-43.00,-0.7414,-230.00,-0.7931,-0.0013,-0.7950,-5.8500,-0.7697,-31.0000,,-0.0014,-0.8023,,,-27.0000,,-0.1471,-1.0000,-0.0588,-1.0000
White Claw Black Cherry,38b9ffa29cdac00821757c471bef44e2,14.00,14.00,0.0001,3.0000,3,0.0001,,3,0.6667,0.0000,2025-01-27,2025-02-23,20.50,20.50,0.0001,5.0000,5.0000,0.0002,,5.0000,0.2000,0.0000,-6.50,-0.3171,-6.50,,-0.0000,-0.3233,-2.0000,-0.4000,-2.0000,,-0.0001,-0.3553,,,-2.0000,,0.4667,2.3333,0.0000,0.0000
Butter Chicken Burrito,037d8e4f48a3c66db8eaff8a4770bc84,1477.53,7387.66,0.0405,124.0000,620,0.0303,21.95,498,0.2289,0.1145,2025-01-27,2025-02-23,1215.64,6078.19,0.0336,107.4000,537.0000,0.0245,21.05,460.0000,0.2413,0.1196,261.89,0.2154,1309.47,0.2154,0.0069,0.2044,16.6000,0.1546,83.0000,0.1546,0.0058,0.2378,0.89,0.0425,38.0000,0.0826,-0.0124,-0.0513,-0.0051,-0.0427
Saag Paneer,b2e5e331828a4748468e0853ec4d1f52,412.97,2064.85,0.0113,32.2000,161,0.0079,27.31,145,0.2621,0.0621,2025-01-27,2025-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LaCroix - Grapefruit,f4c503509996a4d89dcff32e616b5b80,12.83,25.65,0.0001,4.5000,9,0.0004,,8,0.3750,0.1250,2025-01-27,2025-02-23,14.96,59.85,0.0003,5.2500,21.0000,0.0010,,19.0000,0.4737,0.1579,-2.14,-0.1429,-34.20,,-0.0002,-0.5753,-0.7500,-0.1429,-12.0000,,-0.0005,-0.5412,,,-11.0000,,-0.0987,-0.2083,-0.0329,-0.2083
Territory Spiced Sweet Potato,8225388c3fe824cb6d91feda36d711cb,480.50,480.50,0.0026,62.0000,62,0.0030,,0,0.0000,0.0000,2025-01-27,2025-02-23,604.50,604.50,0.0033,78.0000,78.0000,0.0036,,0.0000,0.0000,0.0000,-124.00,-0.2051,-124.00,-0.2051,-0.0007,-0.2124,-16.0000,-0.2051,-16.0000,,-0.0005,-0.1480,,,0.0000,,0.0000,0.0000,0.0000,0.0000
Fresh Young Coconut,a2c7e426db993ca42549fef34557ea24,0.00,0.00,0.0000,7.0000,7,0.0003,,0,0.0000,0.0000,2025-01-27,2025-02-23,71.23,356.13,0.0020,10.4000,52.0000,0.0024,,44.0000,0.2955,0.1818,-71.23,-1.0000,-356.13,-1.0000,-0.0020,-1.0000,-3.4000,-0.3269,-45.0000,,-0.0020,-0.8555,,,-44.0000,,-0.2955,-1.0000,-0.1818,-1.0000
