RecipeName,Textbox9,Textbox10,Textbox11,Textbox12,Textbox15,Textbox19,Textbox20,Textbox29,Textbox23,Textbox24,Textbox30,Textbox27,Textbox28,Textbox49,Textbox51,Textbox53,IngName,IngQty,IngUofM,IngYieldPercent,IngInstructions,Cost,CostPerPortion,Cost1,CostPerPortion1,RecipeSteps,Textbox33,Textbox40,Textbox46,Textbox35,Textbox42,Textbox38,Textbox44
BATCH Basmati Rice,19.00,lb,19.00,lb,1.00,4.70,OZ-wt,=,1.00,Cup,=,,Inactive,No,COGS - Prepped Food,Inventory - Prepped Food,Salt,3.00,Tablespoon,100.0,,0.1555,0.1555,7.6980,7.6980,,0.00,2 D,,0.00,,0.00,
BATCH Basmati Rice,19.00,lb,19.00,lb,1.00,4.70,OZ-wt,=,1.00,Cup,=,,Inactive,No,COGS - Prepped Food,Inventory - Prepped Food,"Rice, Sela Basmati",3.00,Quart,100.0,,6.3811,6.3811,7.6980,7.6980,,0.00,2 D,,0.00,,0.00,
BATCH Basmati Rice,19.00,lb,19.00,lb,1.00,4.70,OZ-wt,=,1.00,Cup,=,,Inactive,No,COGS - Prepped Food,Inventory - Prepped Food,"Spice, Cinnamon Stick",2.00,Each,100.0,,0.0899,0.0899,7.6980,7.6980,,0.00,2 D,,0.00,,0.00,
BATCH Basmati Rice,19.00,lb,19.00,lb,1.00,4.70,OZ-wt,=,1.00,Cup,=,,Inactive,No,COGS - Prepped Food,Inventory - Prepped Food,"Spice, Cumin Seeds",0.25,Cup,100.0,,0.2881,0.2881,7.6980,7.6980,,0.00,2 D,,0.00,,0.00,
BATCH Basmati Rice,19.00,lb,19.00,lb,1.00,4.70,OZ-wt,=,1.00,Cup,=,,Inactive,No,COGS - Prepped Food,Inventory - Prepped Food,"Juice, Lemon",2.00,Tablespoon,100.0,,0.1663,0.1663,7.6980,7.6980,,0.00,2 D,,0.00,,0.00,
BATCH Basmati Rice,19.00,lb,19.00,lb,1.00,4.70,OZ-wt,=,1.00,Cup,=,,Inactive,No,COGS - Prepped Food,Inventory - Prepped Food,"Spice, Bay Leaf",2.00,Each,100.0,,0.0849,0.0849,7.6980,7.6980,,0.00,2 D,,0.00,,0.00,
BATCH Basmati Rice,19.00,lb,19.00,lb,1.00,4.70,OZ-wt,=,1.00,Cup,=,,Inactive,No,COGS - Prepped Food,Inventory - Prepped Food,"Oil, Sunflower",0.75,Cup,100.0,,0.5322,0.5322,7.6980,7.6980,,0.00,2 D,,0.00,,0.00,
BATCH Beans Green Blanched,20.00,lb,20.00,lb,1.00,25.90,OZ-wt,=,2.00,Quart,=,,Inactive,No,COGS - Prepped Food,Inventory - Prepped Food,Green Beans,20.00,lb,100.0,,79.9000,79.9000,80.9481,80.9481,,0.00,,,0.00,,0.00,
BATCH Beans Green Blanched,20.00,lb,20.00,lb,1.00,25.90,OZ-wt,=,2.00,Quart,=,,Inactive,No,COGS - Prepped Food,Inventory - Prepped Food,Salt,8.00,OZ-fl,100.0,,0.8292,0.8292,80.9481,80.9481,,0.00,,,0.00,,0.00,
BATCH Beans Green Blanched,20.00,lb,20.00,lb,1.00,25.90,OZ-wt,=,2.00,Quart,=,,Inactive,No,COGS - Prepped Food,Inventory - Prepped Food,Sugar,4.00,OZ-fl,100.0,,0.2189,0.2189,80.9481,80.9481,,0.00,,,0.00,,0.00,
BATCH Beef Cooked,81.80,OZ-wt,6.80,OZ-wt,12.03,6.00,OZ-wt,=,4.00,OZ-fl,=,,Inactive,No,COGS - Meat,Inventory - Meat,YIELD Garlic Sliced,1.00,Cup,100.0,,1.7352,0.1442,37.4085,3.1096,,0.00,,,0.00,,0.00,
BATCH Beef Cooked,81.80,OZ-wt,6.80,OZ-wt,12.03,6.00,OZ-wt,=,4.00,OZ-fl,=,,Inactive,No,COGS - Meat,Inventory - Meat,"Herb, Curry Leaves",1.00,OZ-fl,100.0,,0.1355,0.0113,37.4085,3.1096,,0.00,,,0.00,,0.00,
BATCH Beef Cooked,81.80,OZ-wt,6.80,OZ-wt,12.03,6.00,OZ-wt,=,4.00,OZ-fl,=,,Inactive,No,COGS - Meat,Inventory - Meat,YIELD Shallots Sliced,1.00,Quart,100.0,,5.3830,0.4475,37.4085,3.1096,,0.00,,,0.00,,0.00,
BATCH Beef Cooked,81.80,OZ-wt,6.80,OZ-wt,12.03,6.00,OZ-wt,=,4.00,OZ-fl,=,,Inactive,No,COGS - Meat,Inventory - Meat,"Beef, Rasa Marinated",5.00,lb,100.0,,29.8000,2.4771,37.4085,3.1096,,0.00,,,0.00,,0.00,
BATCH Beef Cooked,81.80,OZ-wt,6.80,OZ-wt,12.03,6.00,OZ-wt,=,4.00,OZ-fl,=,,Inactive,No,COGS - Meat,Inventory - Meat,"Oil, Sunflower",0.50,Cup,100.0,,0.3548,0.0295,37.4085,3.1096,,0.00,,,0.00,,0.00,
BATCH Beef Marinated,71.40,lb,71.40,lb,1.00,1.00,Bag-3lb,=,,Inactive,=,,Inactive,No,COGS - Meat,Inventory - Meat,"Oil, Sunflower",4.00,Cup,100.0,,2.8386,2.8386,441.1162,441.1162,,0.00,,,0.00,,0.00,
