canonical_name,channel,qty,base_cost,total_mod_cost,avg_cost
Order notes: NO utensils,open,2819,0.0,0.0,0.0
Fooda Chicken Tikka Masala,catering_3pd,382,0.0,0.0,0.0
Fooda Set Price Bowl,catering_3pd,380,0.0,0.0,0.0
Foodworks BYO Premium Bowl,offsite,276,0.0,0.0,0.0
Foodworks BYO Bowl,offsite,273,0.0,0.0,0.0
Chai Chocolate Chip Cookie Basket,catering_3pd,171,0.0,176.3463,1.0313
Order notes: YES utensils,open,144,0.0,0.0,0.0
BYO Chicken Bowl,offsite,140,0.0,0.0,0.0
Spicy Chili Chicken Bowl,offsite,115,0.0,0.0,0.0
ZeroCater Toppings,catering_3pd,60,0.0,1.224,0.0204
Catering Additional Mains,catering_3pd,55,0.0,806.9679,14.6721
ZeroCater Mains,catering_3pd,53,0.0,54.8831,1.0355
Plain Naan Basket,catering_3pd,47,0.0,379.9261,8.0835
CaterCow Buffet Style,catering_3pd,35,0.0,0.0,0.0
BYO Harvest Veg Bowl,offsite,35,0.0,0.0,0.0
Samosa Trays,catering_3pd,35,0.0,517.5692,14.7877
Side of Main,catering_3pd,33,0.0,28.8183,0.8733
ZeroCater Veggies,catering_3pd,30,0.0,6.363,0.2121
Catering Additional Grains,catering_3pd,28,0.0,61.3363,2.1906
Samosa Trays,catering,25,0.0,505.2463,20.2099
Catering Additional Grains,catering,24,0.0,56.8322,2.368
Combo Naan Basket,catering_3pd,22,0.0,198.9242,9.042
Combo Naan Basket,catering,20,0.0,237.8527,11.8926
ZeroCater Chutneys,catering_3pd,20,0.0,1.918,0.0959
Catering Additional Mains,catering,19,0.0,247.927,13.0488
Chai Chocolate Chip Cookie Basket,catering,18,0.0,54.8304,3.0461
Handcrafted Juice for a Group - 1 Gallon,catering,16,0.0,73.6877,4.6055
ZeroCater Bases,catering_3pd,15,0.0,3.6705,0.2447
Catering Additional Veggies,catering_3pd,15,0.0,56.9076,3.7938
Catering Additional Sauce,catering_3pd,14,0.0,86.1369,6.1526
Fooda Extra Harvest Vegetables,catering_3pd,14,0.0,0.0,0.0
Lamb Kebab Bowl - Fooda,catering_3pd,11,0.0,0.0,0.0
Spicy Chili Chicken Bowl - Fooda,catering_3pd,11,0.0,0.0,0.0
Garlic Naan Basket,catering_3pd,10,0.0,79.9196,7.992
Homemade Juice,catering_3pd,10,0.0,0.0,0.0
Plain Naan Basket,catering,7,0.0,67.8785,9.6969
Catering Additional Sauce,catering,7,0.0,42.6783,6.0969
Catering Additional Veggies,catering,7,0.0,19.0099,2.7157
Chicken Tikka + Avocado Salad - Fooda,catering_3pd,5,0.0,0.0,0.0
Spiced Cauli + Quinoa Bowl - Fooda,catering_3pd,5,0.0,12.2245,2.4449
Guarantee,catering_3pd,4,0.0,0.0,0.0
Delivery Fee,catering_3pd,3,0.0,0.0,0.0
Garlic Naan Basket,catering,3,0.0,29.8501,9.95
Premium Options Upcharge,open,2,0.0,0.0,0.0
Marriott BYO Bowl,open,2,0.0,0.0,0.0
That Fire Hot Sauce,catering_3pd,2,0.0,0.0,0.0
Extra,open,2,0.0,0.0,0.0
Eurest APL Cookies,catering_3pd,2,0.0,0.0,0.0
Catering additional base - SexyGreens,open,1,0.0,0.0,0.0
Zero Cater 06/28202-,open,1,0.0,0.0,0.0
BYO MARRIOT,open,1,0.0,0.0,0.0
BYO,open,1,0.0,0.0,0.0
Aramark Marriott Hot Food,open,1,0.0,0.0,0.0
Milk,open,1,0.0,0.0,0.0
Spicy Chicken Avocado Bowl,open,1,0.0,0.0,0.0
Spicy Chicken Burrito,catering,1,0.0,0.0,0.0
Spicy Chili Chicken,open,1,0.0,0.0,0.0
Additional Menu Item,open,1,0.0,0.0,0.0
HUNGRY Mains,catering_3pd,1,0.0,20.0327,20.0327
Square Sales,open,1,0.0,0.0,0.0
Additional Menu Items,open,1,0.0,0.0,0.0
Fooda MOD Tandoore Paneer,open,1,0.0,0.0,0.0
Fooda,open,1,0.0,0.0,0.0
Extra Protein,open,1,0.0,0.0,0.0
Extra Portions,open,1,0.0,0.0,0.0
Catering additional Toppings - Kachumber Salad,open,1,0.0,0.0,0.0
Catering Additional Chutney - Spicy Mango Chutney,open,1,0.0,0.0,0.0
