parent_item,modifier_name,channel,qty,unit_cost,r365_recipe_name
The Party Pack,Spicy Mango Chutney - Party Pack,catering_3pd,275,0,
The Party Pack,Sweet Tamarind - Party Pack,catering_3pd,165,0,
The Classic,Spicy Mango Chutney - Classic,catering,130,0,
The Party Pack,Spicy Mango Chutney - Party Pack,catering,126,0,
The Classic,Spicy Mango Chutney - Classic,catering_3pd,115,0,
Worldstrides BYO Bowl,"-BYO Salad/Rice Bowl with Chicken or Roasted Vegetables -Homemade Juice -Masala Chai Cookie -Choice of 1: Naan, Garlic Naan, Mini Samosa",catering_3pd,103,0,
The Party Pack,Sweet Tamarind - Party Pack,catering,85,0,
The Party Pack,Can you provide bowls for guests to take food and serving utensils?,catering,43,0,
ZeroCater Toppings,ZeroCater - Pickled Onions,catering_3pd,30,0,
Chicken Tikka Bowl,"Nut, pumpkin, squash, and eggplant allergy - please clean gloves and prep to avoid cross contamination",catering,26,0,
Spiced Cauli + Quinoa Bowl,PLEASE DO NOT ADD ANY ONIONS,catering,20,0,
ZeroCater Mains,ZeroCater - Tandoori Paneer,catering_3pd,10,0,
Spiced Cauli + Quinoa Bowl,"Nut, pumpkin, squash, and eggplant allergy - please clean gloves and prep to avoid cross contamination",catering,5,0,
Butter Chicken,EXTRA - label meal type,catering,4,0,
Chicken Tikka Bowl,EXTRA - label meal type,catering,4,0,
Indian Burrito Box for 9,PLEASE DO NOT ADD ONIONS IN THIS,catering,4,0,
Samosa Trays,Sauces which is packed separately : mint cilantro and sweet tamarind,catering,3,0,
Combo Naan Basket,Combine the butter naan and the garlic naan together which is served normally CUT INTO QUATERS,catering,2,0,
Combo Naan Basket,"WRAP IN FOIL, LABELED",catering,2,0,
Paneer Tikka Bowl,EXTRA - label meal type,catering,2,0,
BYO Grain Bowl,Skip Main,catering_3pd,1,0,MI Skip Main
Catering Additional Chutney - Spicy Mango Chutney,1 quart.,open,1,0,
Catering additional Toppings - Kachumber Salad,"Package 2, (1/3 size) pans each one weighing 4.3lbs, for total weight of 8.6lbs",open,1,0,
Catering additional base - SexyGreens,1 full pan,open,1,0,
Paneer Tikka Bowl,Gluten allergy for this bowl. Thank you!,catering,1,0,
Samosa Trays,Vegan please,catering,1,0,
Tandoori Tasting Bundle,"May we get extra chutneys, please? Happy to pay the upcharge.",catering,1,0,
Wild Kombucha - Mango Peach,Yerba,catering_3pd,1,0,
