selection_guid,item_key_new,location_code_new,business_date_new,canonical_name_new,menu_name_old,menu_name_new
8622cd33-7761-4e3c-8f90-6f6afab44816,517,NL,2026-07-08,Mango Lassi,CATERING - 3PD,OFFSITE POP-UPS
74de4d89-4d94-459d-84ad-2937d62823c4,527,MVT,2026-07-12,Offsite Pop-Up Mango Lassi,CATERING - 3PD,OFFSITE POP-UPS
85694fdf-822d-4c5f-b728-61eb1baf3a2a,636,MVT,2026-07-12,Aramark Tandoori Paneer Bowl,CATERING - 3PD,OFFSITE POP-UPS
27fdd788-8159-43b9-8e7b-c0f910f4fa4b,745,MVT,2026-07-12,Aramark Lamb Bowl,CATERING - 3PD,OFFSITE POP-UPS
fb6e5176-7406-4b08-9bac-a08204a37b1e,540,MVT,2026-07-12,Aramark Spicy Chicken Bowl,CATERING - 3PD,OFFSITE POP-UPS
b0774598-5634-4b2e-b78f-065af7efa270,488,MVT,2026-07-12,Aramark Chicken Bowl,CATERING - 3PD,OFFSITE POP-UPS
4c7fe246-8c2f-4156-81ed-ca16654722f2,540,MVT,2026-07-06,Aramark Spicy Chicken Bowl,CATERING - 3PD,OFFSITE POP-UPS
8d6b47dc-fd41-4326-92e1-3e0d0f7ca653,564,NL,2026-07-08,Eurest Premium Bowl,CATERING - 3PD,OFFSITE POP-UPS
c1a2ad23-f60c-48a4-9f8e-d66fcf3b6e9f,631,NL,2026-07-08,Masala Chai Cookies,CATERING - 3PD,OFFSITE POP-UPS
eef8fd67-96b2-405d-874c-73e6e9162605,736,NL,2026-07-08,Eurest Double Protein Bowl,CATERING - 3PD,OFFSITE POP-UPS
058aa3e1-cbba-434f-88c1-6034b0bad3aa,682,NL,2026-07-08,Eurest Bowl,CATERING - 3PD,OFFSITE POP-UPS
2f547e75-20fe-4249-8d05-338c24fc44db,488,MVT,2026-07-06,Aramark Chicken Bowl,CATERING - 3PD,OFFSITE POP-UPS
993eaf48-6c1d-42d4-9b09-435c433d09e2,745,MVT,2026-07-06,Aramark Lamb Bowl,CATERING - 3PD,OFFSITE POP-UPS
52b311a3-448b-4633-b8d7-038f4c4d8f9d,527,MVT,2026-07-06,Offsite Pop-Up Mango Lassi,CATERING - 3PD,OFFSITE POP-UPS
abeb011b-747b-4d80-a4f5-85489c1b21bd,636,MVT,2026-07-06,Aramark Tandoori Paneer Bowl,CATERING - 3PD,OFFSITE POP-UPS
e0cc61ca-bc73-49e9-873b-7aa68ddf6c4b,580,MVT,2026-07-06,Aramark Harvest Vegetables Bowl,CATERING - 3PD,OFFSITE POP-UPS
5ddfb7b0-cc91-4760-84d8-81060559b932,580,MVT,2026-07-07,Aramark Harvest Vegetables Bowl,CATERING - 3PD,OFFSITE POP-UPS
6a1296f1-e6e8-4af3-9d32-8a6dbccc4111,527,MVT,2026-07-07,Offsite Pop-Up Mango Lassi,CATERING - 3PD,OFFSITE POP-UPS
ab4eb2b4-d818-44b9-9479-0dfe5ff39ecd,636,MVT,2026-07-07,Aramark Tandoori Paneer Bowl,CATERING - 3PD,OFFSITE POP-UPS
f82def68-4685-4a00-b35d-6f1d40116af4,745,MVT,2026-07-07,Aramark Lamb Bowl,CATERING - 3PD,OFFSITE POP-UPS
4e44944b-92db-43be-b734-7b417aee2e70,540,MVT,2026-07-07,Aramark Spicy Chicken Bowl,CATERING - 3PD,OFFSITE POP-UPS
52908ed2-23e4-4a02-9da4-fedcc51d0181,488,MVT,2026-07-07,Aramark Chicken Bowl,CATERING - 3PD,OFFSITE POP-UPS
d5748164-f00a-45ed-94b8-5b2714988565,540,MVT,2026-07-09,Aramark Spicy Chicken Bowl,CATERING - 3PD,OFFSITE POP-UPS
693d859a-09ac-4450-9176-f391697dc686,580,MVT,2026-07-09,Aramark Harvest Vegetables Bowl,CATERING - 3PD,OFFSITE POP-UPS
ffd0d10f-7d03-4884-a33c-c4b69d4ee39d,636,MVT,2026-07-09,Aramark Tandoori Paneer Bowl,CATERING - 3PD,OFFSITE POP-UPS
2ce56935-0122-4076-8e00-201e08f1f652,527,MVT,2026-07-09,Offsite Pop-Up Mango Lassi,CATERING - 3PD,OFFSITE POP-UPS
8b527c18-1258-4ef9-869f-9b932e89b165,488,MVT,2026-07-09,Aramark Chicken Bowl,CATERING - 3PD,OFFSITE POP-UPS
454b96da-b91a-48d3-b43c-0ff0766ae487,745,MVT,2026-07-09,Aramark Lamb Bowl,CATERING - 3PD,OFFSITE POP-UPS
