raw_name,canonical_name
Grain Bowl - Club Feast,Grain Bowl
Salad Bowl - Club Feast,Salad Bowl
Spicy Chili Chicken Bowl - Club Feast,Spicy Chili Chicken Bowl
Chicken Tikka + Avocado Salad - Club Feast,Chicken Tikka + Avocado Salad
Tandoori Tasting Platter,Tandoori Tasting Bundle
Kingfisher - Gameday,Kingfisher
Rupee Lager - Gameday,Rupee Lager
Burrito,BYO Indian Burrito
Kids Meal,Kids BYO
Indian Yogurt,Sweet Cardamom Yogurt
Fooda Aramark Eurest Masala Chai Cookies,Masala Chai Cookies
That Fire Hot Sauce - Side,That Fire Hot Sauce
Additonal,Additional
Fooda Qualtrics - Set Price Bowl,Fooda Set Price Bowl
Fooda Okta - Set Price Bowl,Fooda Set Price Bowl
Fooda CloudHQ - Set Price Bowl,Fooda Set Price Bowl
Fooda T-Mobile - Set Price Bowl,Fooda Set Price Bowl
